0.00,0.00,58.00,23.00,1.20,333.20,49.05,47.25,49.17
0.00,0.00,57.00,23.00,0.60,96.20,47.88,48.85,48.74
0.00,0.00,56.00,23.00,1.00,350.80,48.66,47.52,49.28
0.00,0.00,55.00,23.00,0.50,281.80,48.99,48.15,48.33
0.00,0.00,55.00,23.00,0.40,354.30,48.53,48.12,48.82
0.00,0.00,53.00,24.00,1.50,335.20,49.14,46.94,49.38
0.00,0.00,53.00,24.00,1.00,175.70,48.42,49.41,47.64
0.00,0.00,51.00,23.00,1.80,358.30,48.56,46.85,50.05
0.00,0.00,50.00,24.00,1.10,307.60,49.38,47.44,48.65
0.00,0.00,49.00,24.00,0.50,345.80,48.62,48.00,48.86
0.00,0.00,48.00,24.00,1.10,341.10,48.86,47.37,49.23
0.00,0.00,47.00,24.00,1.00,317.10,49.19,47.48,48.80
0.00,0.00,46.00,24.00,0.50,312.40,48.87,48.00,48.60
0.00,0.00,45.00,24.00,1.30,343.60,48.87,47.18,49.41
0.00,0.00,45.00,24.00,0.70,173.10,48.41,49.15,47.91
0.00,0.00,43.00,25.00,2.00,334.40,49.39,46.41,49.65
0.00,0.00,42.00,24.00,0.70,296.40,49.13,47.89,48.45
0.00,0.00,41.00,24.00,0.60,320.10,48.88,47.88,48.70
0.00,0.00,40.00,24.00,0.80,325.30,48.96,47.67,48.84
0.00,0.00,39.00,24.00,1.30,343.80,48.87,47.18,49.41
0.00,0.00,37.00,24.00,1.70,347.20,48.89,46.80,49.76
0.00,0.00,36.00,24.00,0.80,304.20,49.17,47.75,48.55
0.00,0.00,35.00,24.00,1.30,333.80,49.08,47.15,49.23
0.00,0.00,35.00,24.00,0.60,92.10,47.87,48.82,48.78
0.00,0.00,33.00,24.00,1.70,337.20,49.18,46.74,49.55
0.00,0.00,32.00,24.00,0.90,326.80,49.00,47.56,48.91
0.00,0.00,31.00,23.00,0.70,61.50,47.86,48.51,49.10
0.00,0.00,30.00,23.00,1.10,2.50,48.45,47.53,49.48
0.00,0.00,29.00,23.00,0.90,341.50,48.79,47.58,49.10
0.00,0.00,28.00,23.00,1.20,326.90,49.16,47.25,49.05
0.00,0.00,27.00,22.00,0.90,25.20,48.10,47.96,49.40
0.00,0.00,26.00,21.00,0.50,40.00,48.16,48.32,48.99
0.00,0.00,25.00,21.00,1.40,349.40,48.77,47.12,49.58
0.00,0.00,24.00,21.00,0.70,8.80,48.38,47.93,49.16
0.00,0.00,24.00,20.00,0.50,26.90,48.26,48.21,49.00
0.00,0.00,23.00,19.00,0.90,31.30,48.01,48.05,49.41
0.00,0.00,22.00,19.00,0.70,33.10,48.10,48.17,49.20
0.00,0.00,21.00,18.00,1.00,26.50,48.04,47.93,49.50
